block_num,latitude,longitude,total_pop
1,+38.277842,-112.619217,5
2,+38.278818,-112.620029,6
3,+38.277859,-112.620090,30
4,+38.249827,-112.643012,1
5,+38.250966,-112.648895,0
6,+38.250235,-112.650784,0
7,+38.253376,-112.652125,0
8,+38.273568,-112.650713,0
9,+38.293988,-112.652541,0
10,+38.293438,-112.652549,0
11,+38.278017,-112.650716,0
12,+38.282415,-112.650805,0
13,+38.253415,-112.658386,0
14,+38.252392,-112.657505,0
15,+38.248462,-112.655296,0
16,+38.238592,-112.661195,0
17,+38.241978,-112.661025,0
18,+38.243046,-112.654619,0
19,+38.243442,-112.650319,0
20,+38.241596,-112.647940,0
21,+38.244309,-112.644848,0
22,+38.244685,-112.641842,0
23,+38.238009,-112.660121,0
24,+38.238020,-112.652883,0
25,+38.297401,-112.637076,14
26,+38.297638,-112.643874,63
27,+38.296459,-112.649557,1
28,+38.291139,-112.641148,0
29,+38.291474,-112.637285,0
30,+38.285478,-112.625472,37
31,+38.287433,-112.631407,0
32,+38.287839,-112.636917,30
33,+38.289367,-112.637710,8
34,+38.290226,-112.641359,0
35,+38.287243,-112.641082,0
36,+38.287258,-112.639674,11
37,+38.286787,-112.636905,29
38,+38.285708,-112.636889,26
39,+38.284587,-112.637837,17
40,+38.282509,-112.637593,10
41,+38.281746,-112.633798,15
42,+38.282179,-112.632748,0
43,+38.282660,-112.631419,2
44,+38.281566,-112.630930,0
45,+38.281566,-112.631779,0
46,+38.280374,-112.631779,0
47,+38.280379,-112.632516,0
48,+38.279775,-112.632745,0
49,+38.280858,-112.633771,16
50,+38.280389,-112.635430,31
51,+38.281728,-112.635430,31
52,+38.281717,-112.637150,7
53,+38.280379,-112.637144,20
54,+38.279039,-112.637123,12
55,+38.279073,-112.635396,22
56,+38.279073,-112.633664,0
57,+38.279038,-112.631984,13
58,+38.279663,-112.632089,0
59,+38.280263,-112.630930,0
60,+38.280697,-112.627250,0
61,+38.281753,-112.623359,9
62,+38.281743,-112.621688,11
63,+38.280200,-112.621722,17
64,+38.278819,-112.621666,8
65,+38.278804,-112.623346,5
66,+38.278793,-112.624981,7
67,+38.279016,-112.627861,10
68,+38.278639,-112.629970,30
69,+38.277744,-112.630229,11
70,+38.277744,-112.631948,13
71,+38.277722,-112.633647,24
72,+38.277700,-112.635375,21
73,+38.277678,-112.637102,21
74,+38.276316,-112.637096,19
75,+38.276349,-112.635368,25
76,+38.276361,-112.633648,28
77,+38.276371,-112.631943,30
78,+38.276382,-112.630230,15
79,+38.276655,-112.626726,35
80,+38.277655,-112.623237,11
81,+38.278256,-112.623239,0
82,+38.278320,-112.624951,7
83,+38.278082,-112.626729,2
84,+38.277754,-112.628486,18
85,+38.277565,-112.626719,14
86,+38.277671,-112.624944,14
87,+38.276017,-112.620536,0
88,+38.276117,-112.618995,2
89,+38.276577,-112.619151,0
90,+38.276968,-112.619577,4
91,+38.276656,-112.620772,0
92,+38.277126,-112.620956,0
93,+38.278267,-112.621655,4
94,+38.277301,-112.621808,6
95,+38.274986,-112.631922,13
96,+38.275019,-112.630187,21
97,+38.273641,-112.632132,12
98,+38.273614,-112.633629,21
99,+38.274976,-112.633649,18
100,+38.274954,-112.635340,41
101,+38.273592,-112.635298,19
102,+38.273570,-112.637018,19
103,+38.272242,-112.636983,13
104,+38.272264,-112.635270,9
105,+38.272145,-112.632947,3
106,+38.270960,-112.635255,13
107,+38.270926,-112.637003,26
108,+38.269083,-112.637650,14
109,+38.254885,-112.642660,0
110,+38.259489,-112.642024,2
111,+38.263222,-112.642028,0
112,+38.265496,-112.642004,27
113,+38.266549,-112.642733,18
114,+38.265667,-112.647230,8
115,+38.261973,-112.647250,3
116,+38.257190,-112.647787,8
117,+38.253113,-112.648287,0
118,+38.290701,-112.642794,0
119,+38.292366,-112.644361,24
120,+38.292137,-112.646100,0
121,+38.293413,-112.647819,0
122,+38.290220,-112.649304,0
123,+38.287679,-112.649417,0
124,+38.288089,-112.646400,20
125,+38.290880,-112.644267,26
126,+38.290074,-112.647586,16
127,+38.289894,-112.647725,75
128,+38.291708,-112.647695,0
129,+38.288136,-112.642453,5
130,+38.285634,-112.642395,9
131,+38.283959,-112.642365,16
132,+38.282701,-112.642344,2
133,+38.282874,-112.644066,13
134,+38.283798,-112.646556,13
135,+38.284345,-112.649382,0
136,+38.281619,-112.648990,4
137,+38.281630,-112.647603,19
138,+38.281618,-112.645883,15
139,+38.281628,-112.644098,16
140,+38.281639,-112.642341,12
141,+38.281662,-112.640570,4
142,+38.281695,-112.638827,30
143,+38.280357,-112.638813,30
144,+38.280323,-112.640556,15
145,+38.280301,-112.642334,14
146,+38.280290,-112.644083,22
147,+38.280290,-112.645862,22
148,+38.280280,-112.647589,6
149,+38.280279,-112.648976,23
150,+38.278175,-112.649904,0
151,+38.277614,-112.648941,15
152,+38.277636,-112.647555,12
153,+38.278929,-112.647576,16
154,+38.278941,-112.645848,32
155,+38.278939,-112.644070,29
156,+38.278939,-112.642314,0
157,+38.278972,-112.640543,18
158,+38.279029,-112.638807,18
159,+38.277678,-112.638793,32
160,+38.277668,-112.640522,10
161,+38.277622,-112.642292,20
162,+38.277658,-112.644064,18
163,+38.277647,-112.645834,19
164,+38.276274,-112.645828,28
165,+38.276273,-112.644050,15
166,+38.276272,-112.642279,6
167,+38.275597,-112.640486,5
168,+38.276305,-112.638772,17
169,+38.274954,-112.637061,17
170,+38.273570,-112.638716,33
171,+38.273526,-112.640429,21
172,+38.272851,-112.642188,12
173,+38.274853,-112.642258,48
174,+38.274865,-112.644029,4
175,+38.274867,-112.645814,15
176,+38.274855,-112.647542,12
177,+38.276263,-112.647541,29
178,+38.276242,-112.648918,20
179,+38.274855,-112.648895,18
180,+38.272440,-112.647825,53
181,+38.273504,-112.645750,20
182,+38.273504,-112.643993,16
183,+38.272177,-112.643958,11
184,+38.272177,-112.645693,29
185,+38.267200,-112.647339,40
186,+38.270838,-112.643952,18
187,+38.270826,-112.642203,10
188,+38.269472,-112.643289,18
189,+38.270836,-112.640407,12
190,+38.272209,-112.640386,6
191,+38.272220,-112.638673,17
192,+38.270904,-112.638688,28
193,+38.461619,-112.540568,0
194,+38.424622,-112.523713,0
195,+38.424240,-112.520467,0
196,+38.422506,-112.513888,0
197,+38.420763,-112.510267,0
198,+38.426981,-112.538791,0
199,+38.427241,-112.540583,0
200,+38.428760,-112.543672,0
201,+38.427008,-112.541300,0
202,+38.422926,-112.566430,0
203,+38.423038,-112.599317,0
204,+38.394176,-112.628704,6
205,+38.421658,-112.603686,0
206,+38.421521,-112.613032,0
207,+38.430850,-112.610542,0
208,+38.436843,-112.595655,0
209,+38.425827,-112.600952,0
210,+38.445102,-112.604072,0
211,+38.445470,-112.615973,0
212,+38.452224,-112.610114,0
213,+38.441831,-112.605560,0
214,+38.435270,-112.615838,0
215,+38.447582,-112.585454,0
216,+38.468223,-112.605460,0
217,+38.480860,-112.612535,0
218,+38.494026,-112.612898,0
219,+38.505092,-112.608208,0
220,+38.528677,-112.600128,0
221,+38.493570,-112.604760,0
222,+38.496859,-112.614630,0
223,+38.521788,-112.608859,4
224,+38.560822,-112.599230,0
225,+38.570645,-112.586241,0
226,+38.568925,-112.577610,0
227,+38.564532,-112.581425,0
228,+38.566447,-112.588999,0
229,+38.553642,-112.594061,0
230,+38.538566,-112.578591,0
231,+38.562401,-112.606162,0
232,+38.556927,-112.670453,0
233,+38.542766,-112.730466,0
234,+38.510338,-112.715272,0
235,+38.520192,-112.741035,0
236,+38.508077,-112.759270,0
237,+38.507703,-112.749429,0
238,+38.469789,-112.726096,0
239,+38.465146,-112.704604,0
240,+38.432960,-112.690375,5
241,+38.470869,-112.697715,0
242,+38.494057,-112.684187,0
243,+38.498186,-112.644330,0
244,+38.519040,-112.620145,0
245,+38.474672,-112.632538,0
246,+38.474166,-112.629951,0
247,+38.462152,-112.649656,0
248,+38.466313,-112.664332,0
249,+38.455587,-112.672293,0
250,+38.471173,-112.669822,0
251,+38.458058,-112.659368,0
252,+38.453084,-112.657402,0
253,+38.447977,-112.658730,0
254,+38.441084,-112.653163,0
255,+38.433085,-112.675684,0
256,+38.421156,-112.652919,2
257,+38.421029,-112.649830,0
258,+38.368216,-112.650605,8
259,+38.415059,-112.637639,0
260,+38.423126,-112.629462,0
261,+38.409165,-112.623001,0
262,+38.400860,-112.628496,4
263,+38.402448,-112.637564,0
264,+38.408009,-112.641969,0
265,+38.398487,-112.663954,0
266,+38.398079,-112.685337,0
267,+38.417278,-112.701612,0
268,+38.410379,-112.717378,0
269,+38.434013,-112.733330,0
270,+38.402290,-112.740076,0
271,+38.400918,-112.732134,0
272,+38.372890,-112.713964,0
273,+38.405360,-112.728249,0
274,+38.397583,-112.714598,0
275,+38.391860,-112.705202,0
276,+38.363612,-112.690971,0
277,+38.327314,-112.724806,0
278,+38.359060,-112.692605,0
279,+38.357499,-112.706614,0
280,+38.354172,-112.743036,0
281,+38.344071,-112.768235,0
282,+38.338649,-112.780347,0
283,+38.324867,-112.772474,0
284,+38.326401,-112.753073,0
285,+38.332248,-112.743191,0
286,+38.323563,-112.738978,0
287,+38.319579,-112.749005,0
288,+38.306352,-112.776138,0
289,+38.288514,-112.758265,0
290,+38.289641,-112.776154,0
291,+38.280445,-112.723497,9
292,+38.293375,-112.708733,0
293,+38.314714,-112.686059,0
294,+38.325142,-112.669796,0
295,+38.329638,-112.662788,0
296,+38.350907,-112.665480,0
297,+38.358472,-112.671954,0
298,+38.336081,-112.671707,0
299,+38.326786,-112.671876,0
300,+38.324769,-112.676335,0
301,+38.325066,-112.672319,0
302,+38.323173,-112.669363,0
303,+38.315709,-112.660754,0
304,+38.332640,-112.659285,0
305,+38.350058,-112.645859,4
306,+38.362403,-112.612012,6
307,+38.357877,-112.640975,37
308,+38.348394,-112.621741,0
309,+38.347251,-112.596609,0
310,+38.354286,-112.596300,0
311,+38.355431,-112.585916,0
312,+38.398795,-112.589476,0
313,+38.392827,-112.575052,0
314,+38.371186,-112.590348,0
315,+38.349014,-112.574251,0
316,+38.349714,-112.570585,0
317,+38.350928,-112.554200,0
318,+38.360433,-112.535065,0
319,+38.365975,-112.529012,0
320,+38.324520,-112.493998,0
321,+38.388866,-112.399200,0
322,+38.363118,-112.399240,0
323,+38.347886,-112.369990,5
324,+38.302194,-112.395626,1
325,+38.303037,-112.405745,0
326,+38.302339,-112.405995,0
327,+38.301540,-112.407614,0
328,+38.300430,-112.411335,0
329,+38.299450,-112.407786,0
330,+38.298839,-112.406125,0
331,+38.296878,-112.409184,0
332,+38.295417,-112.406284,0
333,+38.275070,-112.397587,25
334,+38.290750,-112.397959,6
335,+38.301388,-112.421643,0
336,+38.297074,-112.422662,0
337,+38.305839,-112.421431,0
338,+38.318653,-112.419812,0
339,+38.309067,-112.429127,0
340,+38.307156,-112.422903,0
341,+38.302890,-112.431832,0
342,+38.299315,-112.433755,0
343,+38.296537,-112.445285,0
344,+38.298183,-112.463964,0
345,+38.283641,-112.491795,0
346,+38.286430,-112.521791,0
347,+38.284953,-112.524719,0
348,+38.284568,-112.529048,0
349,+38.283979,-112.535691,0
350,+38.282079,-112.539779,0
351,+38.281908,-112.542613,0
352,+38.281520,-112.578243,0
353,+38.282802,-112.590554,0
354,+38.282161,-112.589525,4
355,+38.281577,-112.583636,8
356,+38.281090,-112.591550,25
357,+38.281089,-112.595780,6
358,+38.281772,-112.595658,0
359,+38.282153,-112.592561,0
360,+38.280522,-112.589680,7
361,+38.279211,-112.588927,18
362,+38.275593,-112.600525,3
363,+38.278251,-112.600512,8
364,+38.280597,-112.599326,12
365,+38.281043,-112.599790,4
366,+38.281537,-112.598999,5
367,+38.282246,-112.601345,33
368,+38.300386,-112.599202,3
369,+38.313457,-112.594107,0
370,+38.327486,-112.593324,6
371,+38.334218,-112.595060,0
372,+38.337157,-112.585334,0
373,+38.346054,-112.581839,0
374,+38.340387,-112.592183,0
375,+38.341223,-112.596447,0
376,+38.338135,-112.618246,17
377,+38.343679,-112.618126,0
378,+38.346046,-112.603358,0
379,+38.338748,-112.596457,0
380,+38.338625,-112.592501,0
381,+38.340356,-112.585997,2
382,+38.331977,-112.585303,3
383,+38.339418,-112.573831,3
384,+38.340096,-112.561923,17
385,+38.344887,-112.566109,6
386,+38.345443,-112.564242,0
387,+38.344982,-112.559085,0
388,+38.344688,-112.556766,0
389,+38.342708,-112.556851,0
390,+38.334625,-112.559659,7
391,+38.329119,-112.556172,0
392,+38.326714,-112.568840,0
393,+38.323516,-112.584101,0
394,+38.299881,-112.582879,0
395,+38.317827,-112.568148,0
396,+38.308323,-112.567994,0
397,+38.280928,-112.596613,4
398,+38.279551,-112.599006,23
399,+38.278750,-112.598153,0
400,+38.274403,-112.602502,7
401,+38.276088,-112.604791,2
402,+38.278202,-112.606608,4
403,+38.280722,-112.607283,0
404,+38.280983,-112.615503,1
405,+38.285407,-112.611386,6
406,+38.281324,-112.604579,15
407,+38.279417,-112.610374,0
408,+38.278787,-112.615184,25
409,+38.275805,-112.612459,7
410,+38.274173,-112.610820,9
411,+38.273684,-112.608314,29
412,+38.271290,-112.610400,11
413,+38.270728,-112.604677,0
414,+38.272262,-112.599552,0
415,+38.273425,-112.594112,1
416,+38.274499,-112.590228,0
417,+38.271825,-112.593980,0
418,+38.272946,-112.588662,0
419,+38.256485,-112.564312,0
420,+38.267244,-112.603898,0
421,+38.271811,-112.599628,0
422,+38.262873,-112.609485,0
423,+38.250666,-112.593965,0
424,+38.243002,-112.598913,0
425,+38.249143,-112.612820,0
426,+38.240718,-112.619440,0
427,+38.241717,-112.633708,2
428,+38.254764,-112.657241,0
429,+38.259996,-112.658550,0
430,+38.254394,-112.674540,0
431,+38.256736,-112.676063,0
432,+38.267593,-112.656307,168
433,+38.271603,-112.650703,0
434,+38.273408,-112.661777,0
435,+38.275992,-112.662214,8
436,+38.282351,-112.674558,0
437,+38.286728,-112.684132,0
438,+38.311024,-112.678678,0
439,+38.316060,-112.672603,0
440,+38.305765,-112.666806,0
441,+38.297931,-112.667644,0
442,+38.294539,-112.673383,0
443,+38.293439,-112.670185,6
444,+38.286731,-112.667981,0
445,+38.297330,-112.655849,0
446,+38.304722,-112.654732,0
447,+38.305216,-112.653921,0
448,+38.305224,-112.656265,0
449,+38.302595,-112.652616,0
450,+38.291679,-112.652723,0
451,+38.291677,-112.659912,0
452,+38.286215,-112.659254,0
453,+38.286952,-112.652556,0
454,+38.289104,-112.651990,0
455,+38.283772,-112.652465,0
456,+38.283693,-112.659230,0
457,+38.279894,-112.659189,0
458,+38.279961,-112.652836,0
459,+38.273583,-112.669221,0
460,+38.264267,-112.685214,0
461,+38.278080,-112.678250,14
462,+38.274058,-112.686169,2
463,+38.279127,-112.688818,0
464,+38.274776,-112.691212,0
465,+38.261796,-112.676377,3
466,+38.266448,-112.664662,0
467,+38.245835,-112.686259,2
468,+38.252138,-112.698313,0
469,+38.251989,-112.686548,0
470,+38.241399,-112.683957,0
471,+38.242531,-112.695516,0
472,+38.237184,-112.689275,0
473,+38.206192,-112.681626,3
474,+38.235508,-112.636060,0
475,+38.228716,-112.647813,0
476,+38.208315,-112.648083,0
477,+38.221979,-112.660704,0
478,+38.229962,-112.631339,0
479,+38.232084,-112.619824,0
480,+38.189691,-112.601276,0
481,+38.213212,-112.572470,0
482,+38.198557,-112.561108,0
483,+38.186236,-112.480150,0
484,+38.217647,-112.386056,0
485,+38.224893,-112.392247,0
486,+38.226366,-112.393143,0
487,+38.227778,-112.392564,0
488,+38.244516,-112.399750,0
489,+38.227285,-112.391226,0
490,+38.223953,-112.395436,0
491,+38.225676,-112.398074,0
492,+38.272006,-112.447647,0
493,+38.268014,-112.481997,5
494,+38.270587,-112.477906,0
495,+38.290505,-112.443293,0
496,+38.311093,-112.406021,0
497,+38.316190,-112.395454,0
498,+38.319211,-112.391622,0
499,+38.321223,-112.387353,0
500,+38.316819,-112.391526,0
501,+38.315060,-112.394327,0
502,+38.312685,-112.368236,0
503,+38.312541,-112.358189,0
504,+38.283786,-112.354098,0
505,+38.279899,-112.358068,0
506,+38.271623,-112.365008,0
507,+38.268353,-112.374461,0
508,+38.259770,-112.373349,0
509,+38.236483,-112.382777,0
510,+38.226628,-112.381632,0
511,+38.227380,-112.374037,0
512,+38.227675,-112.370964,0
513,+38.229479,-112.366596,0
514,+38.226677,-112.368052,0
515,+38.221757,-112.396874,0
516,+38.225630,-112.408920,0
517,+38.203962,-112.428606,0
518,+38.236878,-112.461118,0
519,+38.237389,-112.461596,0
520,+38.241490,-112.461224,0
521,+38.215528,-112.533713,0
522,+38.206021,-112.530648,0
523,+38.190643,-112.552374,0
524,+38.184878,-112.557012,0
525,+38.192580,-112.559678,0
526,+38.178558,-112.568364,0
527,+38.166789,-112.547774,0
528,+38.178030,-112.526594,0
529,+38.175813,-112.538077,0
530,+38.166702,-112.526379,0
531,+38.152769,-112.509934,0
532,+38.157487,-112.519582,0
533,+38.157669,-112.524764,0
534,+38.156549,-112.530590,0
535,+38.151382,-112.527734,0
536,+38.159267,-112.559029,0
537,+38.148023,-112.572952,0
538,+38.151548,-112.607467,0
539,+38.154724,-112.610172,0
540,+38.166237,-112.615810,0
541,+38.196757,-112.636284,0
542,+38.194445,-112.644257,0
543,+38.182790,-112.632533,0
544,+38.159000,-112.614529,0
545,+38.152179,-112.612306,0
546,+38.151805,-112.609991,0
547,+38.211743,-112.620073,0
548,+38.220471,-112.602182,0
549,+38.231876,-112.605775,0
550,+38.231870,-112.594086,0
551,+38.152724,-112.522618,0
552,+38.151777,-112.520742,0
553,+38.178588,-112.744856,8
554,+38.237998,-112.727950,12
555,+38.309329,-112.687491,0
556,+38.313066,-112.688350,0
557,+38.312269,-112.689447,0
558,+38.339425,-112.644609,0
559,+38.328677,-112.621337,11
560,+38.333565,-112.607048,28
561,+38.348892,-112.545737,0
562,+38.360719,-112.531118,0
563,+38.369189,-112.515180,0
564,+38.381849,-112.519882,0
565,+38.389305,-112.513010,0
566,+38.395230,-112.613696,0
567,+38.387991,-112.627378,0
568,+38.388661,-112.628209,0
569,+38.384114,-112.633972,0
570,+38.388427,-112.638268,0
571,+38.387785,-112.646216,0
572,+38.386093,-112.639693,0
573,+38.460532,-112.687329,0
574,+38.471501,-112.697471,0
575,+38.474205,-112.697251,0
576,+38.224976,-112.399773,0
577,+38.327222,-112.605691,4
578,+38.317009,-112.609429,18
579,+38.319389,-112.628139,41
580,+38.314534,-112.622172,0
581,+38.301245,-112.617024,0
582,+38.297374,-112.630151,0
583,+38.315079,-112.646264,13
584,+38.289132,-112.632555,2
585,+38.290898,-112.623164,2
586,+38.275336,-112.624957,4
587,+38.275821,-112.616796,10
588,+38.273198,-112.617244,1
589,+38.270987,-112.627393,5
590,+38.273640,-112.631227,7
591,+38.267846,-112.636113,0
592,+38.267297,-112.631613,0
593,+38.264948,-112.633376,0
594,+38.258960,-112.629905,0
595,+38.253652,-112.621219,4
596,+38.242266,-112.613059,0
597,+38.241668,-112.614973,0
598,+38.265878,-112.650007,0
599,+38.262165,-112.649963,0
600,+38.256517,-112.649894,0
601,+38.320649,-112.644494,12
602,+38.329067,-112.647357,2
603,+38.324199,-112.649813,0
604,+38.291302,-112.650433,0
605,+38.286244,-112.650367,0
606,+38.271600,-112.650074,0
607,+38.268560,-112.650029,0
608,+38.259675,-112.764684,22
609,+38.269322,-112.789620,0
610,+38.261359,-112.795187,0
611,+38.243690,-112.747084,29
612,+38.240387,-112.718050,0
613,+38.253446,-112.707814,1
614,+38.261022,-112.698315,15
615,+38.273044,-112.681586,0
616,+38.273439,-112.689786,7
617,+38.267251,-112.702222,12
618,+38.270994,-112.695714,0
619,+38.256242,-112.711209,0
620,+38.267652,-112.725613,29
621,+38.261579,-112.721075,0
622,+38.255353,-112.711484,1
623,+38.254846,-112.710479,0
624,+38.276425,-112.766049,0
625,+38.385048,-113.020741,0
626,+38.386811,-113.016888,0
627,+38.387315,-113.016204,0
628,+38.382601,-113.019828,0
629,+38.397130,-113.001489,0
630,+38.388537,-112.997222,0
631,+38.405619,-113.012783,30
632,+38.397616,-113.008354,0
633,+38.402835,-113.008433,0
634,+38.404082,-113.008883,0
635,+38.403203,-113.012085,68
636,+38.404940,-113.012057,5
637,+38.404939,-113.011258,12
638,+38.401965,-113.010411,0
639,+38.401866,-113.009364,23
640,+38.400447,-113.009585,24
641,+38.400527,-113.010692,14
642,+38.399495,-113.012916,16
643,+38.400209,-113.014960,25
644,+38.402590,-113.016531,99
645,+38.404915,-113.017024,0
646,+38.405973,-113.016997,0
647,+38.397534,-113.018226,0
648,+38.398998,-113.018196,17
649,+38.400188,-113.018188,14
650,+38.400187,-113.017178,23
651,+38.400198,-113.016036,35
652,+38.398985,-113.016037,17
653,+38.399008,-113.014983,32
654,+38.397600,-113.014969,26
655,+38.397556,-113.016023,33
656,+38.397544,-113.017165,15
657,+38.398986,-113.017163,30
658,+38.396479,-113.014961,31
659,+38.396762,-113.013751,17
660,+38.396330,-113.012555,8
661,+38.397549,-113.011968,13
662,+38.398609,-113.011771,8
663,+38.398603,-113.012347,4
664,+38.397542,-113.012540,7
665,+38.397554,-113.011251,9
666,+38.398548,-113.011056,17
667,+38.399475,-113.010870,19
668,+38.399360,-113.009808,16
669,+38.399257,-113.008831,0
670,+38.399068,-113.007927,0
671,+38.398318,-113.009027,18
672,+38.398422,-113.010005,16
673,+38.397461,-113.010205,21
674,+38.397335,-113.009233,11
675,+38.396404,-113.009503,5
676,+38.396535,-113.010389,13
677,+38.396592,-113.011427,14
678,+38.395951,-113.011564,8
679,+38.395859,-113.010543,14
680,+38.395162,-113.010655,0
681,+38.395375,-113.009925,0
682,+38.394464,-113.010832,0
683,+38.394498,-113.011857,0
684,+38.395242,-113.011698,0
685,+38.394087,-113.012904,55
686,+38.395666,-113.013863,15
687,+38.396321,-113.013809,19
688,+38.395713,-113.014978,0
689,+38.394752,-113.013971,0
690,+38.393573,-113.014136,15
691,+38.393573,-113.015001,11
692,+38.393140,-113.012101,1
693,+38.393720,-113.011075,0
694,+38.392824,-113.011353,0
695,+38.391532,-113.007721,0
696,+38.394800,-113.003279,0
697,+38.392191,-113.003609,0
698,+38.396433,-113.016018,20
699,+38.395919,-113.017649,16
700,+38.393897,-113.023494,9
701,+38.388365,-113.023489,47
702,+38.388678,-113.017643,0
703,+38.390347,-113.017627,11
704,+38.391573,-113.018221,0
705,+38.392670,-113.018215,10
706,+38.393598,-113.018222,16
707,+38.394547,-113.018228,9
708,+38.394524,-113.017189,11
709,+38.394524,-113.016048,19
710,+38.395530,-113.016040,13
711,+38.393562,-113.016048,33
712,+38.393586,-113.017189,22
713,+38.392636,-113.017174,12
714,+38.392647,-113.016051,24
715,+38.392656,-113.014702,27
716,+38.392646,-113.013322,13
717,+38.392589,-113.012160,10
718,+38.391724,-113.012353,4
719,+38.391833,-113.013492,17
720,+38.392024,-113.014291,6
721,+38.391311,-113.014887,10
722,+38.391525,-113.015598,22
723,+38.391525,-113.016253,18
724,+38.391566,-113.017414,37
725,+38.390325,-113.016263,11
726,+38.390329,-113.015609,10
727,+38.390323,-113.014847,16
728,+38.390380,-113.013779,12
729,+38.391147,-113.013655,7
730,+38.391027,-113.012609,6
731,+38.389107,-113.013507,0
732,+38.390479,-113.012806,0
733,+38.389716,-113.013846,6
734,+38.388356,-113.015347,4
735,+38.389054,-113.016313,0
736,+38.389070,-113.012726,0
737,+38.386843,-113.012358,0
738,+38.389919,-113.010135,0
739,+38.386643,-113.008475,0
740,+38.386138,-113.011570,0
741,+38.213236,-112.915128,0
742,+38.211939,-112.917661,10
743,+38.211313,-112.919063,10
744,+38.211386,-112.920967,0
745,+38.211189,-112.922906,5
746,+38.210086,-112.920345,19
747,+38.209144,-112.923666,0
748,+38.220859,-112.930944,0
749,+38.220977,-112.929066,5
750,+38.219369,-112.930834,8
751,+38.219084,-112.931906,2
752,+38.213751,-112.931987,13
753,+38.217377,-112.932040,12
754,+38.217636,-112.930749,20
755,+38.217596,-112.928903,25
756,+38.217429,-112.925906,16
757,+38.215985,-112.919619,77
758,+38.213997,-112.916548,26
759,+38.213951,-112.918405,4
760,+38.214962,-112.919105,15
761,+38.214815,-112.921225,26
762,+38.214767,-112.923083,20
763,+38.215507,-112.925013,0
764,+38.216308,-112.925051,0
765,+38.216236,-112.926840,0
766,+38.216198,-112.927783,0
767,+38.216183,-112.928843,25
768,+38.216160,-112.930699,42
769,+38.214684,-112.930620,29
770,+38.214695,-112.928806,23
771,+38.214714,-112.926921,23
772,+38.214708,-112.924990,24
773,+38.213242,-112.924928,0
774,+38.213276,-112.923012,3
775,+38.213344,-112.921120,20
776,+38.213395,-112.919265,14
777,+38.214855,-112.920089,5
778,+38.212652,-112.917795,0
779,+38.212062,-112.919202,14
780,+38.212033,-112.921003,5
781,+38.211851,-112.922947,21
782,+38.211720,-112.924869,21
783,+38.211686,-112.926783,20
784,+38.213196,-112.926856,24
785,+38.213150,-112.928756,14
786,+38.213116,-112.930596,15
787,+38.209806,-112.932062,18
788,+38.211617,-112.930518,14
789,+38.211651,-112.928698,45
790,+38.210153,-112.928656,15
791,+38.210508,-112.926747,4
792,+38.209966,-112.926425,0
793,+38.210528,-112.925403,0
794,+38.210946,-112.925243,5
795,+38.210948,-112.924517,0
796,+38.209288,-112.925643,13
797,+38.209700,-112.926097,10
798,+38.209203,-112.927584,0
799,+38.209254,-112.928679,7
800,+38.208597,-112.930594,6
801,+38.210107,-112.930474,25
802,+38.208566,-112.928662,0
803,+38.208247,-112.928587,0
804,+38.207579,-112.930971,0
805,+38.211031,-112.924060,0
806,+38.562861,-112.751261,0
807,+38.559817,-112.762456,0
808,+38.570438,-112.774889,0
809,+38.519693,-112.804763,0
810,+38.550578,-112.848728,0
811,+38.551249,-112.855394,0
812,+38.553974,-112.881915,0
813,+38.572511,-112.896501,0
814,+38.569759,-112.918955,0
815,+38.563287,-112.957769,0
816,+38.510225,-112.984647,0
817,+38.563143,-112.988025,0
818,+38.520257,-113.003561,1
819,+38.550730,-112.988404,0
820,+38.550540,-113.019123,0
821,+38.565517,-113.021738,0
822,+38.565210,-113.038167,0
823,+38.571244,-113.058913,0
824,+38.569853,-113.103572,0
825,+38.571575,-113.110350,0
826,+38.574677,-113.115968,0
827,+38.568615,-113.130537,0
828,+38.569745,-113.172867,0
829,+38.555003,-113.163396,0
830,+38.558818,-113.116140,0
831,+38.567771,-113.116365,0
832,+38.567987,-113.108738,0
833,+38.560864,-113.093359,0
834,+38.553699,-113.052838,0
835,+38.564358,-113.024269,0
836,+38.529487,-113.019025,0
837,+38.515535,-113.050830,1
838,+38.542893,-113.083393,0
839,+38.545549,-113.093338,0
840,+38.553943,-113.104974,0
841,+38.539711,-113.115707,0
842,+38.530354,-113.122066,0
843,+38.524548,-113.119814,0
844,+38.504597,-113.135691,0
845,+38.491798,-113.115819,0
846,+38.487805,-113.100690,0
847,+38.487189,-113.097610,0
848,+38.490499,-113.085852,0
849,+38.509265,-113.088377,0
850,+38.525582,-113.096027,0
851,+38.516107,-113.097599,0
852,+38.528436,-113.095946,0
853,+38.537174,-113.095073,0
854,+38.528577,-113.081533,0
855,+38.483496,-113.101111,0
856,+38.478392,-113.108220,0
857,+38.477785,-113.116818,0
858,+38.471943,-113.112022,0
859,+38.465127,-113.077901,0
860,+38.452674,-113.072906,0
861,+38.446918,-113.072939,0
862,+38.444837,-113.086122,0
863,+38.459402,-113.106070,0
864,+38.442200,-113.118360,0
865,+38.477772,-113.130982,0
866,+38.485587,-113.131771,0
867,+38.477060,-113.125948,0
868,+38.468303,-113.119197,0
869,+38.478403,-113.144000,0
870,+38.484989,-113.155592,0
871,+38.496541,-113.168757,0
872,+38.488764,-113.198172,0
873,+38.551953,-113.267753,0
